,Census Tract,Median Income,CT,Total Population,Voting Population,White,White %,White Voting Population,Black or African American,Black or African American %,Black or African American Voting Population,American Indian and Alaska Native,American Indian and Alaska Native %,American Indian and Alaska Native Voting Population,Asian,Asian %,Asian Voting Population,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander %,Native Hawaiian and Other Pacific Islander Voting Population,Some other race,Some other race %,Some other race Voting Population,Two or more races,Two or more races %,Two or more races Voting Population
0,Census Tract 1,95156,000100,3763,2983,3438,0.913632739835,2725.36646293,22,0.00584639914961,17.4398086633,28,0.00744087164496,22.1961201169,131,0.0348126494818,103.846133404,0,0.0,0.0,18,0.00478341748605,14.2689343609,126,0.0334839224023,99.8825405262
1,Census Tract 2,95226,000200,3803,3093,3307,0.869576650013,2689.60057849,93,0.0244543781225,75.637391533,46,0.0120957139101,37.4120431238,115,0.0302392847752,93.5301078096,8,0.00210360241914,6.50644228241,60,0.0157770181436,48.7983171181,174,0.0457533526164,141.515119642
2,Census Tract 3,93813,000300,3075,2566,2511,0.816585365854,2095.35804878,9,0.00292682926829,7.51024390244,28,0.00910569105691,23.365203252,250,0.0813008130081,208.617886179,8,0.00260162601626,6.67577235772,73,0.0237398373984,60.9164227642,196,0.0637398373984,163.556422764
3,Census Tract 4,53806,000400,3860,3507,3023,0.783160621762,2746.54430052,250,0.0647668393782,227.137305699,110,0.0284974093264,99.9404145078,48,0.0124352331606,43.6103626943,0,0.0,0.0,46,0.0119170984456,41.7932642487,383,0.0992227979275,347.974352332
4,Census Tract 5,45586,000500,3560,3120,2666,0.748876404494,2336.49438202,261,0.0733146067416,228.741573034,88,0.0247191011236,77.1235955056,309,0.086797752809,270.808988764,13,0.00365168539326,11.393258427,94,0.026404494382,82.3820224719,129,0.0362359550562,113.056179775
5,Census Tract 6,30000,000600,1198,1013,727,0.606844741235,614.733722871,314,0.262103505843,265.510851419,0,0.0,0.0,66,0.0550918196995,55.8080133556,0,0.0,0.0,69,0.0575959933222,58.3447412354,22,0.0183639398998,18.6026711185
6,Census Tract 7,12068,000700,2429,2429,856,0.352408398518,856.0,665,0.273775216138,665.0,34,0.0139975298477,34.0,366,0.15067929189,366.0,15,0.00617538081515,15.0,378,0.155619596542,378.0,115,0.0473445862495,115.0
7,Census Tract 8,52841,000800,1450,1406,1104,0.761379310345,1070.49931034,92,0.0634482758621,89.2082758621,0,0.0,0.0,170,0.11724137931,164.84137931,0,0.0,0.0,34,0.0234482758621,32.9682758621,50,0.0344827586207,48.4827586207
8,Census Tract 11.01,31651,001101,2177,2015,1617,0.742765273312,1496.67202572,142,0.0652273771245,131.433164906,32,0.0146991272393,29.6187413872,195,0.0895728066146,180.489205328,0,0.0,0.0,108,0.0496095544327,99.9632521819,83,0.038125861277,76.8236104731
9,Census Tract 12,35000,001200,2985,2876,2278,0.763149078727,2194.81675042,250,0.0837520938023,240.871021776,27,0.00904522613065,26.0140703518,185,0.0619765494137,178.244556114,0,0.0,0.0,107,0.0358458961474,103.09279732,138,0.0462311557789,132.96080402
10,Census Tract 13,45625,001300,3076,2904,2240,0.72821846554,2114.74642393,173,0.0562418725618,163.326397919,31,0.010078023407,29.266579974,376,0.122236671001,354.975292588,0,0.0,0.0,85,0.027633289987,80.2470741222,171,0.0555916775033,161.438231469
